no;tanggal;masuk;kontak_erat;keluar;isolasi;discard;;;;;;;
1;30/03/20;8;8;0;8;0;;;;;;;
2;31/03/20;0;8;0;8;0;;;;;;;
3;01/04/20;0;8;0;8;0;;;;;;;
4;02/04/20;1;9;0;9;0;;;;;;;
5;03/04/20;0;9;0;9;0;;;;;;;
6;04/04/20;3;12;0;12;0;;;;;;;
7;05/04/20;2;14;0;14;0;;;;;;;
8;06/04/20;10;24;0;24;0;;;;;;;
9;07/04/20;0;24;0;24;1;;;;;;;
10;08/04/20;0;24;0;24;2;;;;;;;
11;09/04/20;0;24;0;24;3;;;;;;;
12;10/04/20;0;24;0;24;4;;;;;;;
13;11/04/20;0;24;0;24;5;;;;;;;
14;12/04/20;0;24;0;24;6;;;;;;;
15;13/04/20;0;24;0;24;7;;;;;;;
16;14/04/20;0;24;0;24;0;;;;;;;
17;15/04/20;0;24;0;24;0;;;;;;;
18;16/04/20;37;61;0;61;0;;;;;;;
19;17/04/20;18;79;0;79;0;;;;;;;
20;18/04/20;16;95;0;95;0;;;;;;;
21;19/04/20;16;95;0;95;0;;;;;;;
22;20/04/20;2;97;0;97;0;;;;;;;
23;21/04/20;2;97;0;97;0;;;;;;;
24;22/04/20;17;114;0;114;0;;;;;;;
25;23/04/20;12;126;0;126;0;;;;;;;
26;24/04/20;4;130;0;130;0;;;;;;;
27;25/04/20;35;165;0;165;0;;;;;;;
28;26/04/20;4;169;0;169;0;;;;;;;
29;27/04/20;0;169;0;169;0;;;;;;;
30;28/04/20;17;186;0;186;0;;;;;;;
31;29/04/20;0;186;0;186;0;;;;;;;
32;30/04/20;0;186;0;186;0;;;;;;;
33;01/05/20;0;186;0;187;0;;;;;;;
34;02/05/20;11;197;0;197;0;;;;;;;
35;03/05/20;0;197;0;197;0;;;;;;;
36;04/05/20;7;204;0;204;0;;;;;;;
37;05/05/20;17;221;0;221;0;;;;;;;
38;06/05/20;0;221;0;221;0;;;;;;;
39;07/05/20;9;230;0;230;0;;;;;;;
40;08/05/20;0;230;0;230;0;;;;;;;
41;09/05/20;26;230;0;230;0;;;;;;;
42;10/05/20;0;256;0;256;0;;;;;;;
43;11/05/20;0;274;67;207;0;;;;;;;
44;12/05/20;0;256;67;189;0;;;;;;;
45;13/05/20;8;264;34;163;0;;;;;;;
46;14/05/20;0;264;9;154;110;;;;;;;
47;15/05/20;12;276;0;166;110;;;;;;;
48;16/05/20;2;278;9;159;119;;;;;;;
49;17/05/20;0;278;0;159;119;;;;;;;
50;18/05/20;0;278;5;154;124;;;;;;;
51;19/05/20;20;298;22;152;146;;;;;;;
52;20/05/20;41;339;16;177;162;;;;;;;
53;21/05/20;0;339;6;171;168;;;;;;;
54;22/05/20;55;394;2;224;170;;;;;;;
55;23/05/20;76;670;0;500;170;;;;;;;
56;24/05/20;87;757;0;587;170;;;;;;;
57;25/05/20;0;757;25;562;195;;;;;;;
58;26/05/20;0;757;283;279;478;;;;;;;
59;27/05/20;17;774;2;294;480;;;;;;;
60;28/05/20;6;780;5;295;485;;;;;;;
61;29/05/20;1;781;7;289;492;;;;;;;
62;30/05/20;31;812;39;281;531;;;;;;;
63;31/05/20;6;818;0;287;531;;;;;;;
64;01/06/20;0;818;4;283;535;;;;;;;
65;02/06/20;3;821;1;285;536;;;;;;;
66;03/06/20;0;821;0;285;536;;;;;;;
67;04/06/20;18;839;0;303;536;;;;;;;
68;05/06/20;0;839;0;303;536;;;;;;;
69;06/06/20;0;839;5;298;541;;;;;;;
70;07/06/20;0;839;4;294;545;;;;;;;
71;08/06/20;0;839;0;294;545;;;;;;;
72;09/06/20;0;839;12;282;557;;;;;;;
73;10/06/20;0;839;0;282;557;;;;;;;
74;11/06/20;0;839;0;282;557;;;;;;;
75;12/06/20;0;839;2;280;559;;;;;;;
76;13/06/20;0;839;0;280;559;;;;;;;
77;14/06/20;0;839;6;274;565;;;;;;;
78;15/06/20;0;839;0;274;565;;;;;;;
79;16/06/20;0;839;0;274;565;;;;;;;
80;17/06/20;10;849;0;284;565;;;;;;;
81;18/06/20;20;869;0;304;565;;;;;;;
82;19/06/20;0;869;0;304;565;;;;;;;
83;20/06/20;0;869;0;304;565;;;;;;;
84;21/06/20;18;887;0;322;565;;;;;;;
85;22/06/20;19;906;0;341;565;;;;;;;
86;23/06/20;5;911;0;346;565;;;;;;;
87;24/06/20;7;918;0;353;565;;;;;;;
88;25/06/20;0;918;0;353;565;;;;;;;
89;26/06/20;8;926;0;361;565;;;;;;;
90;27/06/20;0;926;21;340;586;;;;;;;
91;28/06/20;9;935;0;349;586;;;;;;;
92;29/06/20;0;935;0;349;586;;;;;;;
93;30/06/20;6;941;0;355;586;;;;;;;
94;01/07/20;18;959;0;373;586;;;;;;;
95;02/07/20;14;973;0;387;586;;;;;;;
96;03/07/20;9;982;0;396;586;;;;;;;
97;04/07/20;6;988;18;384;604;;;;;;;
98;05/07/20;0;988;0;384;604;;;;;;;
99;06/07/20;10;998;0;394;604;;;;;;;
100;07/07/20;19;1017;0;413;604;;;;;;;
101;08/07/20;0;1017;9;404;613;;;;;;;
102;09/07/20;0;1017;7;397;620;;;;;;;
103;10/07/20;0;1017;8;389;628;;;;;;;
104;11/07/20;0;1017;9;380;637;;;;;;;
105;12/07/20;0;1017;6;374;643;;;;;;;
106;13/07/20;0;1017;0;374;643;;;;;;;
107;14/07/20;0;1017;4;370;647;;;;;;;
108;15/07/20;0;1017;0;370;647;;;;;;;
109;16/07/20;0;1017;42;328;689;;;;;;;
110;17/07/20;0;1017;0;328;689;;;;;;;
111;18/07/20;0;1017;12;316;701;;;;;;;
112;19/07/20;0;1017;0;316;701;;;;;;;
113;20/07/20;0;1017;7;309;708;;;;;;;
114;21/07/20;0;1017;6;303;714;;;;;;;
115;22/07/20;0;1017;11;292;725;;;;;;;
116;23/07/20;0;1017;6;286;731;;;;;;;
117;24/07/20;0;1017;9;277;740;;;;;;;
118;25/07/20;0;1017;9;268;749;;;;;;;
119;26/07/20;0;1017;0;268;749;;;;;;;
120;27/07/20;0;1017;4;264;753;;;;;;;
121;28/07/20;0;1017;14;250;767;;;;;;;
122;29/07/20;0;1017;11;239;778;;;;;;;
123;30/07/20;0;1017;9;230;787;;;;;;;
124;31/07/20;0;1017;7;223;794;;;;;;;
125;01/08/20;0;1017;0;223;794;;;;;;;
126;02/08/20;0;1017;5;218;799;;;;;;;
127;03/08/20;0;1017;5;213;804;;;;;;;
128;04/08/20;0;1017;0;213;804;;;;;;;
129;05/08/20;0;1017;7;206;811;;;;;;;
130;06/08/20;0;1017;9;197;820;;;;;;;
131;07/08/20;0;1017;0;197;820;;;;;;;
132;08/08/20;0;1017;4;193;824;;;;;;;
133;09/08/20;0;1017;0;193;824;;;;;;;
134;10/08/20;0;1017;3;190;827;;;;;;;
135;11/08/20;0;1017;9;181;836;;;;;;;
136;12/08/20;0;1017;0;181;836;;;;;;;
137;13/08/20;0;1017;0;181;836;;;;;;;
138;14/08/20;0;1017;4;177;840;;;;;;;
139;15/08/20;0;1017;7;170;847;;;;;;;
140;16/08/20;0;1017;0;170;847;;;;;;;
141;17/08/20;0;1017;6;164;853;;;;;;;
142;18/08/20;0;1017;0;164;853;;;;;;;
143;19/08/20;0;1017;4;160;857;;;;;;;
144;20/08/20;0;1017;0;160;857;;;;;;;
145;21/08/20;0;1017;3;157;860;;;;;;;
146;22/08/20;0;1017;1;156;861;;;;;;;
147;23/08/20;0;1017;3;153;864;;;;;;;
148;24/08/20;0;1017;0;153;864;;;;;;;
149;25/08/20;0;1017;3;150;867;;;;;;;
150;26/08/20;116;1133;33;233;900;;;;;;;
151;27/08/20;106;1239;59;280;959;;;;;;;
152;28/08/20;114;1353;50;344;1009;;;;;;;
153;29/08/20;149;1502;124;369;1133;;;;;;;
154;30/08/20;149;1651;123;395;1256;;;;;;;
155;31/08/20;190;1841;354;231;1610;;;;;;;
156;01/09/20;235;2076;135;331;1745;;;;;;;
157;02/09/20;178;2254;147;362;1892;;;;;;;
158;03/09/20;141;2395;184;319;2076;;;;;;;
159;04/09/20;367;2762;257;429;2333;;;;;;;
160;05/09/20;195;2957;289;335;2622;;;;;;;
161;06/09/20;194;3151;128;401;2750;;;;;;;
162;07/09/20;78;3229;250;229;3000;;;;;;;
163;08/09/20;232;3461;151;310;3151;;;;;;;
164;09/09/20;150;3611;99;361;3250;;;;;;;
165;10/09/20;150;3761;129;382;3379;;;;;;;
166;11/09/20;126;3887;232;276;3611;;;;;;;
167;12/09/20;97;3984;150;223;3761;;;;;;;
168;13/09/20;86;4070;82;227;3843;;;;;;;
169;14/09/20;85;4155;134;178;3977;;;;;;;
