Meninggal Dunia Harian;Aceh;Bali;Banten;Babel;Bengkulu;DIY;Jakarta;Jambi;Jabar;Jateng;Jatim;Kalbar;Kaltim;Kalteng;Kalsel;Kaltara;Kep Riau;NTB;Sumsel;Sumbar;Sulut;Sumut;Sultra;Sulsel;Sulteng;Lampung;Riau;Malut;Maluku;Papbar;Papua;Sulbar;NTT;Gorontalo;?;Total
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;275
21-Mar;;;1;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
22-Mar;;1;1;;;;6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;10
23-Mar;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
24-Mar;;;1;;;1;2;;1;;;;;;;;1;;;;;;;1;;;;;;;;;;;;7
25-Mar;;;;;;1;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;3
26-Mar;;;;;;;15;;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;20
27-Mar;;;;;;;5;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;9
28-Mar;;;;;;;11;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;15
29-Mar;;;;;;;6;;2;;3;;;;;;;;1;;;;;;;;;;;;;;;;;12
30-Mar;;;;;;;6;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;8
31-Mar;;;;;1;;9;;1;;;2;;;;;;;;;;;;;;;;;;1;;;;;;14
1-Apr;;;10;1;;;2;;;;1;;1;;;;;;;;;2;;4;;;;;;;;;;;;21
2-Apr;;;;;;1;5;;4;;2;;;;;;;;;;;;;;;1;;;;;;;;;;13
3-Apr;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;11
4-Apr;1;;3;;;;1;;1;;3;;;;;;;;;;;;;;;;;;;;1;;;;;10
5-Apr;;;;;;;6;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;7
6-Apr;;;;;;;4;;1;4;;;;;;;;;;;;;;1;;;;;;;1;;;;;11
7-Apr;;;1;;;;7;;;;2;;;;;;;;;;;;;;2;;;;;;;;;;;12
8-Apr;;;;;;4;8;;6;;;;;;;;;;;;1;;;;;;;;;;;;;;;19
9-Apr;;;2;;;;28;;5;;1;;;;2;;;;;;;;;2;;;;;;;;;;;;40
10-Apr;;;1;;;;12;;;;5;;;1;;;;;;3;1;;;3;;;;;;;;;;;;26
11-Apr;;;;;;;5;;;;3;;;;;1;;2;;;;4;1;4;;;;;;;;1;;;;21
12-Apr;;;;;;;36;;3;3;2;1;;;;;;;;;;;;;;;;;;;1;;;;;46
13-Apr;;;1;;;;9;;9;;3;;;;;;;;;;;1;;;;3;;;;;;;;;;26
14-Apr;;;;;;;37;;;1;11;;;;3;;4;;;2;;;;;1;1;;;;;;;;;;60
15-Apr;;;2;;;;;;;1;4;;;1;1;;;;;;;;;;;1;;;;;;;;;;10
16-Apr;;;7;;;;2;;1;;1;;;;;;2;;;;;;;8;;;3;;;;3;;;;;27
17-Apr;;;2;;;1;2;;3;13;;;;;;;;;;2;;;;;;;1;;;;;;;;;24
18-Apr;;1;;;;;7;;;;3;;;;;;;;;1;;;1;2;;;;;;;;;;;;15
19-Apr;;;;;;;34;;3;3;5;;;;;;;1;1;;;;;;;;;;;;;;;;;47
20-Apr;;;1;;;;;;3;;2;;;1;;;;1;;;;;;;;;;;;;;;;;;8
21-Apr;;;;;;;11;;6;;;;;1;;;1;;;;1;;;5;;;;;;;;;;1;;26
22-Apr;;1;;;;;3;;3;9;2;;;;;;;;;1;;1;;;;;;;;;;;;;;20
23-Apr;;;;;;;;;3;;2;;;;;;;;;1;;1;;4;;;;;;;;;;;;11
